Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Spring 2017,A HI,4993,44,23387,Senior Capstone Experience,Alison Fields,113843772,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD UDIV UFA
Spring 2017,A HI,4993,46,21387,Senior Capstone Experience,B. Byron Price,112128334,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,OFC,102,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD SPCL UDIV UFA
Spring 2017,A HI,4993,47,28687,Senior Capstone Experience,Kenneth Haltman,112707192,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,408,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD UDIV UFA
Spring 2017,A HI,4993,49,28688,Senior Capstone Experience,William J Rushing,112775244,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/12/17,FJC,223,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,IST,1,UDIV,CAP,CAP FA NUD UDIV UFA
Spring 2017,A HI,5163,900,36145,Etruscan Art,Rozmeri Basic,112113083,Active,Norman - Main Campus,L,5,0,5,0,0,1/17/17,5/5/17,FJC,203,R,1700,1940,Weitzenhoffer Col of Fine Arts,Visual Arts,,,,,,,,,TRAD,LEC,1,GRAD,,FA GFA GRAD NGR SLST
Spring 2017,A HI,5210,40,21388,Graduate Readings, ,,Active,Norman - Main Campus,S,10,0,10,0,0,1/17/17,5/12/17,FJC,216,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD LIB NGR SPCL VART VTCR
Spring 2017,A HI,5210,41,21389,Graduate Readings,Allison L Palmer,112112303,Active,Norman - Main Campus,S,0,0,0,0,0,1/17/17,5/12/17,FJC,307,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD LIB NGR SPCL VART VTCR
Spring 2017,A HI,5210,42,21390,Graduate Readings,Victor K Youritzin,112111603,Active,Norman - Main Campus,S,10,0,10,0,0,1/17/17,5/12/17,FJC,217,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD LIB NGR SPCL VART VTCR
Spring 2017,A HI,5210,43,21391,Graduate Readings,Mary J Watson,112131264,Active,Norman - Main Campus,S,10,0,10,0,0,1/17/17,5/12/17,FJC,202,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD LIB NGR SPCL VART VTCR
Spring 2017,A HI,5210,44,23389,Graduate Readings,Alison Fields,113843772,Active,Norman - Main Campus,S,5,0,5,0,0,1/17/17,5/12/17,FJC,411,,,,Weitzenhoffer Col of Fine Arts,Visual Arts,F387,Fine Arts- Art Spl Fee,Flat Fee,25,,,,,TRAD,IST,1,GRAD,,FA FCB GFA GRAD LIB NGR VART VTCR
