Term,Subject,Course Number,Section,CRN,Title,Primary Instructor,Instructor ID,Status,Campus,Grade Mode,Maximum Enrollment,Actual Enrollment,Seats Available,Dean's Expected Enrollment,Waitlist,Start Date,End Date,Building,Room,Days,Start Time,End Time,College,Department,Fee #1 Detail Code,Fee #1 Name,Fee #1 Type,Fee #1 Amount,Fee #2 Detail Code,Fee #2 Name,Fee #2 Type,Fee #2 Amount,Instruction Method,Schedule Code,Part of Term,Level,Gened,Attributes
Fall 2017,ACCT,2113,901,11136,Fundmntl Financial Accounting, ,,Active,Norman - Main Campus,L,45,0,45,0,0,8/21/17,12/8/17,MFPH,2010,T,1800,2045,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2123,1,11140,Fundmntl Managerial Accounting,Joseph B. Dulin,112936101,Active,Norman - Main Campus,L,170,0,170,0,0,8/21/17,12/8/17,AH,255,T/R,1500,1615,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2123,900,11143,Fundmntl Managerial Accounting,Joseph B. Dulin,112936101,Active,Norman - Main Campus,L,170,0,170,0,0,8/21/17,12/8/17,AH,255,T/R,1630,1745,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2123,901,37916,Fundmntl Managerial Accounting, ,,Active,Norman - Main Campus,L,45,0,45,0,0,8/21/17,12/8/17,MFPH,2010,M,1800,2050,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,LDIV,,BU LDIV NLD UBU
Fall 2017,ACCT,2970,105,31672,Managerial Accounting,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH005,,,,,Price College of Business,Accounting,,,,,,,,,TRAD,SAB,1,LDIV,,BU LDIV NLD UBU VART
Fall 2017,ACCT,2970,128,31670,Intermediate Accounting 1,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH028,,,,,Price College of Business,Accounting,,,,,,,,,TRAD,SAB,1,LDIV,,BU LDIV NLD UBU VART
Fall 2017,ACCT,2970,228,31671,Cost Accounting,Laura Renee Brunson,112270757,Active,Norman - Main Campus,S,3,0,3,0,0,8/21/17,12/15/17,XCH028,,,,,Price College of Business,Accounting,,,,,,,,,TRAD,SAB,1,LDIV,,BU LDIV NLD UBU VART
Fall 2017,ACCT,3023,1,25362,Intl Financial Statemnt Analys, ,,Active,Norman - Main Campus,L,35,0,35,0,0,8/21/17,12/8/17,MFPH,3040,T/R,900,1015,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,UDIV,,BU NUD UBU UDIV XLST
Fall 2017,ACCT,3033,1,25478,Financial Reporting in Energy,Karen M Hennes,112787090,Active,Norman - Main Campus,L,35,0,35,0,0,8/21/17,12/8/17,AH,355,M/W,1500,1615,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,UDIV,,BU NUD UBU UDIV
Fall 2017,ACCT,3033,900,35221,Financial Reporting in Energy,Karen M Hennes,112787090,Active,Norman - Main Campus,L,35,0,35,0,0,8/21/17,12/8/17,AH,355,M/W,1630,1745,Price College of Business,Accounting,,,,,,,,,TRAD,LEC,1,UDIV,,BU NUD UBU UDIV
